CrewID,FlightNumber,DutyStartTime,DutyEndTime,DutyType,Status
259,1,2024-03-01 06:30:00,2024-03-01 16:02:00,Flight Duty,Assigned
794,1,2024-03-01 06:30:00,2024-03-01 16:02:00,Standby Duty,Assigned
769,2,2024-12-27 05:25:00,2024-12-27 17:36:00,Flight Duty,Assigned
972,2,2024-12-27 05:25:00,2024-12-27 17:36:00,Rest,Assigned
573,2,2024-12-27 05:25:00,2024-12-27 17:36:00,Rest,Assigned
914,3,2024-10-25 11:47:00,2024-10-25 21:23:00,Flight Duty,Assigned
964,3,2024-10-25 11:47:00,2024-10-25 21:23:00,Rest,Assigned
781,4,2024-05-30 06:00:00,2024-05-30 18:53:00,Standby Duty,Assigned
574,4,2024-05-30 06:00:00,2024-05-30 18:53:00,Flight Duty,Assigned
696,4,2024-05-30 06:00:00,2024-05-30 18:53:00,Flight Duty,Assigned
627,4,2024-05-30 06:00:00,2024-05-30 18:53:00,Flight Duty,Assigned
974,5,2024-07-10 10:07:00,2024-07-10 21:06:00,Flight Duty,Assigned
66,5,2024-07-10 10:07:00,2024-07-10 21:06:00,Flight Duty,Assigned
410,6,2024-09-27 23:14:00,2024-09-28 03:20:00,Rest,Assigned
859,6,2024-09-27 23:14:00,2024-09-28 03:20:00,Flight Duty,Assigned
166,6,2024-09-27 23:14:00,2024-09-28 03:20:00,Flight Duty,Assigned
173,6,2024-09-27 23:14:00,2024-09-28 03:20:00,Rest,Assigned
100,6,2024-09-27 23:14:00,2024-09-28 03:20:00,Standby Duty,Assigned
337,6,2024-09-27 23:14:00,2024-09-28 03:20:00,Standby Duty,Assigned
916,7,2024-12-09 09:26:00,2024-12-09 23:17:00,Rest,Assigned
968,7,2024-12-09 09:26:00,2024-12-09 23:17:00,Flight Duty,Assigned
344,7,2024-12-09 09:26:00,2024-12-09 23:17:00,Rest,Assigned
166,8,2024-12-30 14:51:00,2024-12-30 23:16:00,Standby Duty,Assigned
715,8,2024-12-30 14:51:00,2024-12-30 23:16:00,Rest,Assigned
307,8,2024-12-30 14:51:00,2024-12-30 23:16:00,Flight Duty,Assigned
506,8,2024-12-30 14:51:00,2024-12-30 23:16:00,Flight Duty,Assigned
615,8,2024-12-30 14:51:00,2024-12-30 23:16:00,Standby Duty,Assigned
297,9,2024-11-20 17:29:00,2024-11-21 00:43:00,Rest,Assigned
499,9,2024-11-20 17:29:00,2024-11-21 00:43:00,Standby Duty,Assigned
981,10,2024-11-28 02:51:00,2024-11-28 08:46:00,Rest,Assigned
138,10,2024-11-28 02:51:00,2024-11-28 08:46:00,Rest,Assigned
736,11,2024-01-16 13:25:00,2024-01-17 00:02:00,Standby Duty,Assigned
7,11,2024-01-16 13:25:00,2024-01-17 00:02:00,Flight Duty,Assigned
23,11,2024-01-16 13:25:00,2024-01-17 00:02:00,Rest,Assigned
564,11,2024-01-16 13:25:00,2024-01-17 00:02:00,Standby Duty,Assigned
238,11,2024-01-16 13:25:00,2024-01-17 00:02:00,Rest,Assigned
309,12,2024-11-14 17:01:00,2024-11-15 07:43:00,Flight Duty,Assigned
665,12,2024-11-14 17:01:00,2024-11-15 07:43:00,Flight Duty,Assigned
273,12,2024-11-14 17:01:00,2024-11-15 07:43:00,Flight Duty,Assigned
520,12,2024-11-14 17:01:00,2024-11-15 07:43:00,Standby Duty,Assigned
981,12,2024-11-14 17:01:00,2024-11-15 07:43:00,Standby Duty,Assigned
572,12,2024-11-14 17:01:00,2024-11-15 07:43:00,Flight Duty,Assigned
758,13,2024-09-25 16:56:00,2024-09-26 04:50:00,Rest,Assigned
287,13,2024-09-25 16:56:00,2024-09-26 04:50:00,Flight Duty,Assigned
225,13,2024-09-25 16:56:00,2024-09-26 04:50:00,Rest,Assigned
224,13,2024-09-25 16:56:00,2024-09-26 04:50:00,Rest,Assigned
301,14,2024-06-08 00:33:00,2024-06-08 09:16:00,Rest,Assigned
652,14,2024-06-08 00:33:00,2024-06-08 09:16:00,Rest,Assigned
474,14,2024-06-08 00:33:00,2024-06-08 09:16:00,Flight Duty,Assigned
616,14,2024-06-08 00:33:00,2024-06-08 09:16:00,Flight Duty,Assigned
529,14,2024-06-08 00:33:00,2024-06-08 09:16:00,Flight Duty,Assigned
523,14,2024-06-08 00:33:00,2024-06-08 09:16:00,Rest,Assigned
