FlightNumber,DepartureAirport,ArrivalAirport,DepartureTime,ArrivalTime,AircraftType,Duration,Status
1,LAX,JFK,2024-03-01 09:30:00,2024-03-01 11:02:00,Airbus A320,92,Cancelled
2,SEA,SEA,2024-12-27 09:25:00,2024-12-27 13:36:00,Airbus A320,251,Scheduled
3,DEN,LAX,2024-10-25 13:47:00,2024-10-25 18:23:00,Boeing 737,276,Scheduled
4,DFW,ORD,2024-05-30 09:00:00,2024-05-30 14:53:00,Boeing 737,353,Scheduled
5,LAX,DEN,2024-07-10 11:07:00,2024-07-10 15:06:00,Boeing 737,239,Cancelled
6,ATL,JFK,2024-09-28 01:14:00,2024-09-28 02:20:00,Boeing 737,66,Delayed
7,JFK,MIA,2024-12-09 15:26:00,2024-12-09 19:17:00,Airbus A320,231,Cancelled
8,SFO,MIA,2024-12-30 15:51:00,2024-12-30 20:16:00,Boeing 737,265,Delayed
9,SEA,LAS,2024-11-20 20:29:00,2024-11-20 23:43:00,Airbus A380,194,Delayed
10,SFO,LAS,2024-11-28 03:51:00,2024-11-28 05:46:00,Boeing 737,115,Scheduled
11,DFW,DFW,2024-01-16 17:25:00,2024-01-16 19:02:00,Boeing 737,97,Scheduled
12,ATL,SFO,2024-11-14 23:01:00,2024-11-15 01:43:00,Airbus A380,162,Delayed
13,LAS,DFW,2024-09-25 20:56:00,2024-09-25 22:50:00,Boeing 737,114,Scheduled
14,ATL,LAS,2024-06-08 04:33:00,2024-06-08 06:16:00,Airbus A380,103,Cancelled
15,ORD,ATL,2024-06-06 20:40:00,2024-06-07 00:28:00,Airbus A320,228,Cancelled
16,DFW,LAX,2024-08-18 07:36:00,2024-08-18 09:25:00,Boeing 737,109,Delayed
17,JFK,LAX,2024-06-02 07:37:00,2024-06-02 13:15:00,Boeing 777,338,Cancelled
18,JFK,ATL,2024-07-08 10:29:00,2024-07-08 12:15:00,Boeing 777,106,Cancelled
19,LAS,LAX,2024-02-14 14:29:00,2024-02-14 17:08:00,Boeing 777,159,Cancelled
20,JFK,ATL,2024-03-16 18:57:00,2024-03-16 21:43:00,Airbus A380,166,Delayed
21,SFO,SEA,2024-04-19 05:55:00,2024-04-19 09:32:00,Airbus A380,217,Cancelled
22,ORD,SFO,2024-05-14 14:44:00,2024-05-14 19:05:00,Airbus A320,261,Cancelled
23,DEN,ORD,2024-06-25 00:21:00,2024-06-25 03:30:00,Airbus A380,189,Scheduled
24,LAS,JFK,2024-10-20 05:27:00,2024-10-20 08:42:00,Boeing 777,195,Cancelled
25,DFW,DFW,2024-01-02 09:34:00,2024-01-02 15:34:00,Airbus A380,360,Delayed
26,DEN,LAX,2024-04-09 18:25:00,2024-04-10 00:13:00,Airbus A320,348,Scheduled
27,ATL,SFO,2024-03-22 06:30:00,2024-03-22 07:36:00,Boeing 777,66,Scheduled
28,MIA,MIA,2024-03-18 16:55:00,2024-03-18 17:57:00,Boeing 737,62,Cancelled
29,DFW,SFO,2024-01-21 08:24:00,2024-01-21 10:39:00,Boeing 777,135,Delayed
